Nom du Point de Vente,Type,Quartier / Adresse,Priorité
Subirat Opera,Alimentation / Traiteur,Bois des Cars 2,Moyenne
Supermarché de Dely Ibrahim,Supermarché,Bois des Cars 2 (Central),HAUTE
Mini Market Les Roses,Supérette,Bois des Cars 1,Moyenne
Boucherie & Alimentation El Baraka,Alimentation,Bois des Cars 3,Moyenne
Alimentation Yacine,Alimentation,Bois des Cars (rue principale),Moyenne
Épicerie Fine Les Délices,Épicerie Fine,Bois des Cars,Faible (Image)
Supérette La Colline,Supérette,Bois des Cars 3 (Entrée Cité),Moyenne
Alimentation Générale "Le Petit Nice",Alimentation,Bois des Cars 1,Moyenne
Proxi Market Bois des Cars,Supérette,Bois des Cars 2,HAUTE
Épicerie du Parc,Épicerie,Bois des Cars (Près Parc),Moyenne
Alimentation Générale "Chez Ali",Alimentation,Bois des Cars 2,Moyenne
Supérette El Wafaa,Supérette,Bois des Cars 3,HAUTE
Kiosque Bois des Cars,Kiosque,Arrêt de Bus Bois des Cars,Faible
Alimentation Générale "Les Jumeaux",Alimentation,Bois des Cars 1,Moyenne
Superette La Ruche,Supérette,Bois des Cars 2 (Vers Dely Ibrahim),Moyenne
